Date,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
2018-10-15,333.1300048828125,48.92213439941406,206.20068359375,46.96017074584961,33.62858200073242,87.48065185546875,111.20775604248048,133.82379150390622,127.77999877929688,180.75218200683597,65.31163024902344,306.0576477050781,103.65630340576172,64.78079223632811,106.86878967285156,203.8284912109375,137.49003601074222,145.67465209960938,28.61000061035156,80.47024536132812
2018-10-16,346.3999938964844,49.7933349609375,212.4091339111328,47.38784790039063,34.500682830810554,88.52404022216797,113.90364074707031,135.62635803222656,132.02000427246094,186.31544494628903,65.94093322753906,269.48590087890625,103.44953918457031,65.56993103027344,107.38970947265624,211.86489868164062,138.76084899902344,146.5935516357422,29.8700008392334,82.25420379638672
2018-10-17,364.70001220703125,50.655555725097656,218.71337890625,49.18220138549805,34.884037017822266,88.3791275024414,114.82514190673828,133.3896484375,132.05999755859378,187.04151916503903,65.94093322753906,268.84100341796875,102.27471160888672,65.39057159423828,107.18864440917969,211.105224609375,137.6124267578125,143.47312927246094,29.54999923706055,81.76505279541016
2018-10-18,346.7099914550781,49.88314819335938,215.5229034423828,48.46631240844727,34.443187713623054,87.28742218017578,113.89383697509766,128.16127014160156,126.87000274658205,183.4013519287109,65.87709045410156,264.5968017578125,102.89501953125,64.47590637207031,107.3531494140625,212.64454650878903,132.91520690917972,142.16180419921875,29.290000915527344,79.77007293701172
2018-10-19,332.6700134277344,51.6974105834961,217.44869995117188,48.81031799316406,34.48151397705078,88.52404022216797,116.56031799316406,124.72313690185548,122.4499969482422,184.7946014404297,67.03539276123047,265.89602661132807,103.59991455078124,64.72698974609375,107.96544647216795,209.90576171875,131.74795532226562,142.3340606689453,28.82999992370605,78.97401428222656
2018-10-22,329.5400085449219,50.48490524291992,212.3133544921875,47.81551742553711,34.26110076904297,85.53878021240234,115.94271087646484,122.24424743652344,120.51000213623048,185.3735198974609,66.82561492919922,264.8951416015625,100.00028228759766,64.82563781738281,107.11553192138672,208.706298828125,131.7197265625,140.53457641601562,29.18000030517578,79.17543029785156
2018-10-23,333.1600036621094,50.83518981933594,209.4007110595703,47.75973129272461,34.16526412963867,84.0896224975586,115.53097534179688,113.00303649902344,118.77999877929688,180.38916015625,66.49729919433594,263.69207763671875,97.87620544433594,63.34599304199219,103.6336669921875,210.24562072753903,126.74011993408205,137.75872802734378,28.770000457763672,79.2713394165039
2018-10-24,301.8299865722656,50.09870910644531,200.41380310058597,46.74633026123047,32.698986053466804,82.94963073730469,109.41376495361328,106.69659423828124,110.97000122070312,174.46282958984375,67.66471099853516,261.65176391601557,98.88185119628906,61.184852600097656,100.71839904785156,201.8293914794922,120.55561065673828,134.43724060058594,27.540000915527344,74.63878631591797
2018-10-25,312.8699951171875,50.27833557128906,205.0413818359375,47.6667594909668,34.347354888916016,85.2779312133789,111.9135971069336,109.82131958007812,120.6999969482422,173.83489990234375,66.33312225341797,261.03585815429693,98.28034210205078,61.56148147583008,101.9704132080078,210.2755889892578,120.83799743652344,137.9788818359375,31.79999923706055,75.84728240966797
2018-10-26,299.8299865722656,49.08379745483398,203.46055603027344,47.33206176757813,33.77234268188477,82.8433609008789,110.96267700195312,109.27044677734376,120.05999755859376,168.18333435058594,65.36634826660156,264.37545776367193,96.15628051757812,60.89789581298828,101.92471313476562,206.5972595214844,121.21453094482422,136.62924194335938,32.360000610351555,75.79931640625
2018-10-29,284.8399963378906,49.86518096923828,205.5012969970703,47.93637466430664,34.491104125976555,83.5292739868164,110.8156280517578,108.25420379638672,111.72000122070312,169.00750732421875,65.84973907470703,265.1934814453125,96.14688873291016,59.59761428833008,99.54864501953124,206.77716064453125,123.67138671875,135.28916931152344,32.389999389648445,77.12291717529297
2018-10-30,285.80999755859375,50.16157531738281,210.09054565429688,48.64297485351562,36.13946533203125,84.86251068115234,112.50178527832031,111.55938720703124,124.01000213623048,173.28541564941406,66.43343353271484,272.50784301757807,99.84049987792969,60.57506561279297,101.30328369140624,210.1656494140625,126.51419830322266,140.01766967773438,33.860000610351555,79.41521453857422
2018-10-31,301.7799987792969,49.37120819091797,215.9253234863281,48.59647750854492,36.55156326293945,86.27301788330078,112.57040405273438,115.2254867553711,128.8699951171875,178.88795471191406,65.13832855224611,273.29702758789057,98.0265884399414,60.14461898803711,102.03438568115234,213.71405029296875,128.66983032226562,139.96025085449222,34.75,80.28800201416016
2018-11-01,317.3800048828125,50.47592544555664,217.4582977294922,48.46631240844727,36.36948013305664,86.27301788330078,113.8154067993164,118.4356918334961,128.91000366210938,179.32945251464844,64.14421844482422,275.75115966796875,99.65252685546876,61.292457580566406,101.5957260131836,216.18295288085938,133.84712219238278,140.87913513183594,34.61999893188477,84.40263366699219
2018-11-02,309.1000061035156,45.56305694580078,220.0642852783203,48.41053771972656,36.091552734375,84.31181335449219,112.91352081298828,119.47093200683594,128.3699951171875,179.53553771972656,63.74290084838867,278.36892700195307,99.13562774658205,61.2565803527832,104.84912872314452,213.03436279296875,133.50823974609378,142.2000732421875,34.299999237060554,83.61616516113281
2018-11-05,315.44000244140625,47.05398559570313,219.13491821289062,48.66156005859375,36.43656539916992,85.06539916992188,113.1781997680664,120.0597915649414,126.6999969482422,179.7611846923828,64.05300903320311,276.2708740234375,100.44200134277344,62.72725296020508,108.6965560913086,215.4033050537109,135.39091491699222,142.20965576171875,34.02000045776367,82.8488540649414
2018-11-06,310.8399963378906,48.0150032043457,218.63673400878903,48.94047546386719,36.15863800048828,86.1570816040039,114.41341400146484,122.8331069946289,123.68000030517578,179.99668884277344,64.45429229736328,276.77139282226557,100.54540252685548,65.7672119140625,108.66000366210938,214.1438751220703,136.59580993652344,143.7411346435547,34.419998168945305,84.3642578125
2018-11-07,327.5,48.09583282470703,221.58763122558597,48.88469314575195,36.70489883422852,87.47100067138672,114.74671936035156,128.313232421875,125.80999755859376,183.2051239013672,64.91944885253906,284.8941345214844,101.02471160888672,66.10797882080078,110.46034240722656,220.19113159179688,138.12074279785156,146.3255615234375,34.990001678466804,84.699951171875
2018-11-08,317.9200134277344,47.88027954101562,221.9421539306641,49.21009826660156,36.70489883422852,88.16966247558594,113.7173843383789,124.78961944580078,119.13999938964844,184.61802673339844,64.95592498779297,283.3084716796875,100.76155090332031,65.13050842285156,109.08038330078124,220.3910675048828,137.66893005371094,145.86610412597656,34.18000030517578,86.25373840332031
2018-11-09,303.4700012207031,48.49102020263672,213.3193359375,49.41463088989258,36.74323654174805,87.7232894897461,115.6780242919922,120.53466033935548,113.0500030517578,182.7635955810547,65.89533233642578,284.0142517089844,102.86682891845705,65.95552825927734,109.21746063232422,217.5523376464844,134.67550659179688,143.8177032470703,34.080001831054695,84.00939178466797
2018-11-12,294.07000732421875,48.20360946655274,197.4149932861328,49.20079803466797,36.41739273071289,86.48118591308594,114.40360260009766,118.72061920166016,109.02999877929688,178.780029296875,66.9715576171875,282.0128479003906,103.74088287353516,64.70904541015625,107.28004455566406,217.3224334716797,135.88980102539062,141.4439239501953,32.009998321533196,80.75797271728516
2018-11-13,294.3999938964844,47.94314956665039,196.45689392089844,49.91668319702149,36.14905548095703,87.23810577392578,114.55065155029295,119.63239288330078,107.0,176.68028259277344,67.50965881347656,286.1510009765625,103.35555267333984,63.47154235839844,105.41573333740234,212.9543914794922,136.0216064453125,142.22877502441406,32.490001678466804,81.8130111694336
2018-11-14,286.7300109863281,47.27852249145508,194.00418090820312,50.20489501953125,36.6953125,86.287109375,114.81534576416016,118.81560516357422,106.56999969482422,175.7089385986328,67.17220306396484,290.42449951171875,104.3048095703125,63.62399291992188,105.75387573242188,212.25473022460938,138.37466430664062,142.2000732421875,32.90999984741211,82.60908508300781
