Date,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
2018-10-21,332.6700134277344,51.6974105834961,217.44869995117188,48.81031799316406,34.48151397705078,88.52404022216797,116.56031799316406,124.72313690185548,122.4499969482422,184.7946014404297,67.03539276123047,265.89602661132807,103.59991455078124,64.72698974609375,107.96544647216795,209.90576171875,131.74795532226562,142.3340606689453,28.82999992370605,78.97401428222656
2018-10-28,299.8299865722656,49.08379745483398,203.46055603027344,47.33206176757813,33.77234268188477,82.8433609008789,110.96267700195312,109.27044677734376,120.05999755859376,168.18333435058594,65.36634826660156,264.37545776367193,96.15628051757812,60.89789581298828,101.92471313476562,206.5972595214844,121.21453094482422,136.62924194335938,32.360000610351555,75.79931640625
2018-11-04,309.1000061035156,45.56305694580078,220.0642852783203,48.41053771972656,36.091552734375,84.31181335449219,112.91352081298828,119.47093200683594,128.3699951171875,179.53553771972656,63.74290084838867,278.36892700195307,99.13562774658205,61.2565803527832,104.84912872314452,213.03436279296875,133.50823974609378,142.2000732421875,34.299999237060554,83.61616516113281
2018-11-11,303.4700012207031,48.49102020263672,213.3193359375,49.41463088989258,36.74323654174805,87.7232894897461,115.6780242919922,120.53466033935548,113.0500030517578,182.7635955810547,65.89533233642578,284.0142517089844,102.86682891845705,65.95552825927734,109.21746063232422,217.5523376464844,134.67550659179688,143.8177032470703,34.080001831054695,84.00939178466797
2018-11-18,286.2099914550781,47.33760452270508,193.64968872070312,51.06023788452149,36.982818603515625,85.04501342773438,113.90364074707031,123.43145751953124,113.93000030517578,177.91656494140625,67.13570404052734,300.26715087890625,104.57735443115234,65.80308532714844,109.86959838867188,213.6241149902344,139.57962036132812,144.93763732910156,33.669998168945305,85.82212829589844
2018-11-25,258.82000732421875,46.39230346679688,181.17530822753903,49.75863265991211,35.832801818847656,83.09452056884766,109.87451934814452,116.1752471923828,105.5,171.46044921875,66.67057037353516,288.0750732421875,106.03411865234376,62.61964416503906,104.8310546875,211.0652618408203,137.39735412597656,137.39495849609378,31.1200008392334,85.01646423339844
2018-12-02,286.1300048828125,46.46502304077149,183.43853759765625,50.632568359375,37.38533020019531,87.02461242675781,113.21741485595705,128.8546142578125,109.66999816894531,179.9248809814453,67.94742584228516,303.6318054199219,108.43074798583984,63.01420593261719,109.75885772705078,223.2797698974609,143.3274383544922,147.9755401611328,31.45000076293945,88.63733673095703
2018-12-09,265.1400146484375,44.27446746826172,172.83758544921875,48.12231826782226,35.85196304321289,80.22216796875,110.62799835205078,117.3434600830078,102.66999816894531,166.4250946044922,69.73287200927734,279.83746337890625,107.6298599243164,60.36671447753906,106.57515716552734,206.01751708984372,131.50526428222656,141.88446044921875,32.830001831054695,83.33374786376953
2018-12-16,266.83999633789057,43.13829803466797,166.1999969482422,45.3238639831543,34.826526641845696,76.3988265991211,110.8453369140625,120.40169525146484,103.45999908447266,163.945556640625,70.9410400390625,274.9838256835937,111.34711456298828,59.06030654907226,105.04330444335938,205.27783203125,126.98890686035156,137.18867492675778,35.86999893188477,84.15339660644531
2018-12-23,246.38999938964844,40.03881454467773,153.96368408203125,41.47482299804688,32.34439468383789,70.24655914306639,102.9616928100586,114.03826904296876,101.37000274658205,159.00613403320312,69.06884002685547,263.18817138671875,109.953125,54.415321350097656,96.16588592529295,181.21864318847656,121.65658569335938,127.53721618652344,27.309999465942386,79.38018035888672
2018-12-30,256.07998657226557,39.6025276184082,156.83038330078125,42.376121520996094,32.91940689086914,72.44935607910156,106.00450134277344,119.29997253417969,104.56999969482422,165.5985870361328,67.56553649902344,272.14126586914057,107.35485076904295,54.85986328125,100.26316833496094,190.564453125,124.92049407958984,131.6171875,28.43000030517578,82.40803527832031
