timestamp,open,high,low,close,Returns,date,uperBBand,middleBBand,lowerBBand
2018-02-20,172.5001,175.7021,170.074,173.9268,0.008457018857960717,1,,,
2018-02-21,173.8417,177.3057,172.8317,176.9067,0.016987953909251025,2,,,
2018-02-22,176.90099999999998,176.9353,176.8503,176.8668,-0.00022556805509273186,3,,,
2018-02-23,176.8754,176.8955,176.5533,176.6025,-0.0014954625437451708,4,,,
2018-02-26,176.5972,176.8335,176.4094,176.4383,-0.0009302041681295585,5,,,
2018-02-27,176.4342,176.9867,176.3002,176.8257,0.002193261443541397,6,,,
2018-02-28,176.8373,176.8969,176.5259,176.61700000000002,-0.001180955352906629,7,,,
2018-03-01,176.6165,180.7053,176.46599999999998,177.1884,0.0032300269966943356,8,,,
2018-03-02,177.1845,182.2363,175.3185,175.8118,-0.00779946854649874,9,,,
2018-03-05,176.3949,178.5978,171.0834,172.0871,-0.02141336074031676,10,,,
2018-03-06,172.1064,174.5251,170.2351,170.5436,-0.009009761479186737,11,,,
2018-03-07,170.5001,174.5704,169.4804,173.9822,0.019962012622821712,12,,,
2018-03-08,173.9895,176.4605,173.7097,176.22099999999998,0.012785894016188269,13,,,
2018-03-09,176.1816,180.7008,175.8027,180.7008,0.025103735668573105,14,,,
2018-03-12,181.4136,182.7754,181.0301,182.6635,0.010803037547384835,15,183.40988096795093,176.22548,169.04107903204908
2018-03-13,182.6654,184.0041,180.8547,183.3551,0.0037790474203929407,16,185.107791155616,176.85403333333332,168.60027551105063
2018-03-14,183.3439,184.2299,181.2172,183.1921,-0.0008893807441135299,17,186.42532312486057,177.27306,168.1207968751394
2018-03-15,183.1733,184.3755,181.8036,182.57,-0.003401667914076854,18,187.37347356766907,177.65327333333332,167.93307309899757
2018-03-16,182.56400000000002,183.8398,181.9617,183.655,0.005925336470706634,19,188.49885666223463,178.12344,167.74802333776535
2018-03-19,183.6525,191.00599999999997,183.4881,190.9141,0.03876459106804372,20,192.0812736614169,179.08849333333333,166.09571300524976
2018-03-20,190.9045,190.9667,190.761,190.8668,-0.00024778610057229306,21,194.82341786860505,180.0245666666667,165.22571546472832
2018-03-21,190.8647,191.5181,190.6536,191.3463,0.0025090728264181576,22,197.179040964119,181.00652000000002,164.83399903588105
2018-03-22,191.3434,191.4478,191.1649,191.2106,-0.0007094369788729568,23,199.07023326873946,181.94133333333335,164.81243339792724
2018-03-23,191.206,191.8284,191.2033,191.6598,0.002346486989372707,24,200.60813339748174,182.99786666666668,165.38759993585163
2018-03-26,191.7556,196.8362,188.2003,196.8127,0.02653058965583025,25,202.62005611163698,184.64624,166.67242388836303
2018-03-27,196.8325,199.2471,193.3008,193.3273,-0.0178679075674865,26,202.2016902557964,186.16515333333334,170.12861641087028
2018-03-28,193.3424,195.0001,193.2117,194.7716,0.007442982536685688,27,202.18615312084756,187.55111333333335,172.91607354581913
