timestamp,open,high,low,close,Returns,date,uperBBand,middleBBand,lowerBBand
2017-11-10,325.26,327.63,323.87,326.12,0.002702040455073349,1,,,
2017-11-13,324.04,327.03,323.24,326.56,0.0013482872668245517,2,,,
2017-11-14,326.57,333.4,326.45,332.91,0.019258484119047327,3,,,
2017-11-15,332.89,338.17,332.75,334.74,0.0054819279049098234,4,,,
2017-11-16,334.75,335.58,333.48,334.52,-0.0006574425721670481,5,,,
2017-11-17,334.51,337.91,333.83,337.37,0.008483582411205809,6,,,
2017-11-20,338.97,339.11,334.74,335.21,-0.006423049826035135,7,,,
2017-11-21,335.22,338.56,334.49,337.15,0.005770734082095206,8,,,
2017-11-22,337.27,337.63,334.39,335.13,-0.006009418929724186,9,,,
2017-11-23,335.12,336.23,334.13,334.83,-0.0008955759151335214,10,,,
2017-11-24,334.8,335.4,328.52,328.9,-0.017869187140721915,11,,,
2017-11-27,329.55,330.77,327.55,328.3,-0.001825928687464239,12,,,
2017-11-28,328.29,330.65,324.14,327.3,-0.0030506430004121734,13,,,
2017-11-29,327.31,328.28,326.07,327.08,-0.0006723922133584173,14,,,
2017-11-30,327.07,332.45,326.31,331.57,0.013634159428344918,15,341.6725999545229,331.84600000000006,322.0194000454772
2017-12-01,331.6,334.91,324.58,325.12,-0.019644603772058934,16,341.8650966768806,331.77933333333334,321.69356998978606
2017-12-04,319.76,322.56,316.96,320.65,-0.013844159355190547,17,343.2601381270419,331.38533333333334,319.5105285396248
2017-12-05,320.68,322.78,317.34,320.95,0.000935162162915208,18,344.0580569164855,330.58799999999997,317.11794308351443
2017-12-06,320.91,325.46,314.79,324.47,0.010907734189641747,19,343.57540238750664,329.90333333333336,316.2312642791601
2017-12-07,324.48,327.53,321.63,324.54,0.00021571316396188286,20,342.92243215238346,329.23800000000006,315.55356784761665
2017-12-08,324.48,326.06,316.52,320.12,-0.01371286961254523,21,341.7292951486735,328.088,314.44670485132656
2017-12-11,320.13,324.2,320.13,321.43,0.004083865078875016,22,340.5164724358563,327.1693333333334,313.82219423081045
