eod_ts,Rs_returns,Os_returns,Cs_returns,Rp_returns,Rm_returns,Dc_returns,La_returns,Pf_returns,Cp_returns,Ds_returns
2015-01-31,,,,,,,,,,
2015-02-28,-0.6414666226358348,0.2706641964607811,0.5177118509279731,-0.009641071558333006,-0.15598392126512733,-0.06682068525572647,-0.012817243543507566,-0.004241149805012647,0.305803481390848,0.9125080173561562
2015-03-31,0.40320741579206354,0.16083467252391834,-0.03470108620343376,-0.019229454598184103,-0.1369707588727879,0.021775387993068267,0.005988100104289602,0.0012893382246508154,0.09906466592231548,0.5298029857743903
2015-04-30,0.10415681220162824,0.2804592403105016,0.040138904124787926,-0.006754205358626539,-0.07544395706409775,-0.18331102490318224,-0.0028599669096909044,0.0017880232207582174,0.05961573786078221,0.36239767448970894
2015-05-31,-0.06103749998421166,0.09565560565586376,0.10898211726260117,-0.2827720615535391,-0.27815852133060287,-0.07171933507126713,-0.006618705460387162,-0.0024429595300367404,-0.2433621904254745,0.2199795333750881
2015-06-30,0.08472288367330472,-0.05038158770136633,0.008856972100491037,0.038596865254970726,-0.0807788732581443,-0.01557727750838638,0.0006642864106155071,-0.002642213390143559,0.007518983772584951,0.17780182522097002
2015-07-31,0.07922162069561577,-0.13031024865357446,-0.019496584958882488,0.22266575443272577,0.03205717986053823,-0.013154579841986704,-0.009290937808063325,-0.001481972661360768,-0.21467799121154757,0.1614403839982853
2015-08-31,0.00877832548810533,0.013872086418491499,0.02885101207863119,0.05150694808212329,0.036836621677469816,0.06416534723273308,0.004086938389617283,-0.007386170009167442,-0.08843817943660957,0.13566199730683287
2015-09-30,0.054211719683778435,0.03331730678739076,0.035350140681458794,0.14680953603058278,0.14372150244199686,0.12302706788967184,0.004765151854188349,0.010905837040983869,-0.16186131846776686,0.08224068309329735
2015-10-31,0.003127857983343124,0.0209199461121897,0.08201808280889798,0.11551446154336274,0.17739203666497935,0.015076707297887322,0.004955236813301989,0.0043194473563294465,-0.2418833335835766,0.07180201455989331
2015-11-30,-0.0234942678567298,0.027978979747436825,0.00388857266306046,-0.026765210877198287,0.0642161718254055,-0.022257495936989256,0.007476505522276597,1.2481385789115134e-05,0.24411992969915716,0.066403228931124
2015-12-31,0.019675200726923126,0.00024728156552341387,0.026257294869636356,-0.018647270295513187,-0.04581653710236027,-0.09602299712829407,-0.0033912746069809947,7.817154226685216e-09,0.1934277084195366,0.0664798858456329
2016-01-31,0.018199657086447586,-0.07230111302698522,-0.0874003143455326,0.06800468587653416,0.08786232798931295,0.3133171343040691,0.0002536389297641622,-1.1434044165690971e-07,-0.10580961407444013,0.022556234705105132
2016-02-29,0.00838829592738673,0.05012427907638156,0.024935272037321096,-0.015016526309021156,0.016999250602001872,0.06945333547926333,-0.006085079194120834,-4.1316187990599726e-07,-0.04333895235769432,0.01853652157754768
2016-03-31,0.0263648616840706,0.03937906744991613,0.009548257155488295,0.06673394004517738,0.040964533312900786,0.08088409184711702,0.004888397443312569,-1.0345270176024825e-06,-0.07647360753327047,0.020129478824151444
2016-04-30,0.02745598430107109,0.06402711978574342,-0.09040530561136899,0.05187233587932021,0.02614643776853263,0.03556344019173039,-0.016906220815298658,-0.010188831977528014,0.09303342537645803,0.01920003298237942
2016-05-31,-0.013522117870856633,0.023162428468180292,0.002574295642386091,-0.006803009786462896,-0.03286092169773024,-0.0324230574197975,-0.002148295469110991,0.0016786858987318013,0.2291364304150734,0.016972352204117178
2016-06-30,0.019361413789265057,0.012772866358424517,-0.024592127346350866,-0.011939881321847864,0.0239928377741973,-0.013530954809272603,0.0005947794415688825,0.0033937967077668114,-0.1707565451301885,0.014407081584546197
2016-07-31,-0.018025272758648462,0.0030496328748765367,-0.0386761528789363,0.0043104855856645,-0.012239600212533926,0.05250014022677518,-0.09373687486823064,-0.06055132973009036,-0.3274963258945821,-0.023104150735438454
2016-08-31,-0.003851682452599671,0.000816522549786352,-0.059749316617907035,-0.04473090757001908,-0.03083833699761565,-0.007977285263796338,0.024306873536577785,0.0027279197399477256,-0.05323932948510452,0.029905069619755763
2016-09-30,0.03371439640101852,0.0926592551247765,0.04767483093333054,0.10360879656700997,0.027518290581967156,-0.007275409556184497,0.023440610096964354,0.013964510634375246,-0.18698126183380992,0.020416947095193802
2016-10-31,0.01066156338735006,0.05364554490130417,0.041507483648673266,-0.010908150264935381,0.0021502548361401383,0.0005985975581851536,0.011413863564741736,0.017814718192849313,-0.03876820982321776,0.008056571721580688
2016-11-30,0.015299068149348576,0.015653654066323637,-0.04614628729377258,-0.02385333584354276,0.01555005970887174,0.017714848380108603,0.009564313949641464,-0.004670781377685609,0.14953863586053265,0.010946803992743129
2016-12-31,0.004339942244046654,0.014800225644419296,0.027747333077458046,-0.045268019925499545,-0.07319886477253566,0.0029846366092674457,0.04199413626278786,0.023306825194527328,0.14412459458264046,0.013517664582966656
2017-01-31,-0.001472526701087145,-0.005810492467465836,0.03812436874327214,-0.11019782894072078,-0.15953499584624378,-0.12898341853015258,0.006120699248583612,0.010398410955131705,0.1261296914906778,0.01435002615435305
2017-02-28,0.0012808034946639945,-0.013372614795534758,0.0013892672171617526,-0.1145724778895695,-0.12674214877999812,-0.018074594742817206,0.009134281091032237,-0.0007739130076378055,0.46353668975188983,0.012659433735527283
2017-03-31,0.0006689266916084221,0.006412807864782764,-0.016836863555001514,-0.0532951498882451,0.09493095319268685,-0.013897889761367575,-0.0034987386738639997,0.001587888999960545,-0.2024656247593146,0.0131128454918576
