date_time,Unnamed: 0,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,Returns,HiddenStates
2020-02-03 01:23:22.964000+00:00,1,3044,1.10806,1.1083,1.10802,1.10827,3707550000.0,2344650000.0,1522,4108482150.75,0.0001895024663550941,1
2020-02-03 01:42:08.710000+00:00,2,4566,1.10826,1.10876,1.10826,1.10838,3816351000.0,2327098000.0,1522,4230388726.94,9.92488666140473e-05,1
2020-02-03 02:15:26.737000+00:00,3,6088,1.10838,1.10846,1.10814,1.10837,4180575000.0,2446025000.0,1522,4633258967.5,-9.022217209744702e-06,1
2020-02-03 02:50:35.483000+00:00,4,7610,1.10838,1.10846,1.1080299999999998,1.10809,5109728000.0,3032475000.0,1522,5662881314.19,-0.00025265513610849363,0
2020-02-03 03:31:09.310000+00:00,5,9132,1.10808,1.1084,1.1080299999999998,1.10804,4446386000.0,2654736000.0,1522,4927545134.36,-4.512370664949792e-05,1
2020-02-03 05:02:14.744000+00:00,6,10654,1.1080299999999998,1.1085,1.10802,1.10818,4614214000.0,3050425000.0,1522,5113558621.68,0.00012634124787821492,1
2020-02-03 06:27:08.252000+00:00,7,12176,1.10817,1.1086200000000002,1.10815,1.1083100000000001,4232495000.0,2683500000.0,1522,4691303698.1,0.00011730258214475017,1
2020-02-03 07:03:50.066000+00:00,8,13698,1.1083,1.10846,1.10816,1.10836,3763975000.0,2376175000.0,1522,4171640388.0,4.511271412388208e-05,1
2020-02-03 07:22:27.726000+00:00,9,15220,1.10837,1.10839,1.10766,1.10791,3678325000.0,2245280000.0,1522,4075474775.89,-0.0004060877115009326,0
2020-02-03 07:38:06.351000+00:00,10,16742,1.1079,1.1079,1.1071799999999998,1.1072,3471948000.0,1897440000.0,1522,3845240504.7799993,-0.0006410517078740363,0
2020-02-03 07:54:10.165000+00:00,11,18264,1.1072,1.1076700000000002,1.10704,1.10748,3571648000.0,2268826000.0,1522,3955070554.5,0.00025285820208059765,1
2020-02-03 08:06:02.291000+00:00,12,19786,1.10746,1.1077299999999999,1.10714,1.10753,4405525000.0,2729525000.0,1522,4879158158.5,4.514652304805908e-05,1
2020-02-03 08:17:32.154000+00:00,13,21308,1.10752,1.10784,1.10737,1.1078299999999999,4439496000.0,2575499000.0,1522,4917157413.93,0.000270836344281729,0
2020-02-03 08:32:23.405000+00:00,14,22830,1.10782,1.10784,1.10734,1.10754,4217565000.0,2637988000.0,1522,4671345457.309999,-0.00026180728425189944,1
2020-02-03 08:50:32.319000+00:00,15,24352,1.10754,1.10754,1.10683,1.10683,5164608000.0,3058089000.0,1522,5718086663.52,-0.0006412659350791537,0
2020-02-03 09:03:37.088000+00:00,16,25874,1.10683,1.10683,1.10637,1.10656,4578254000.0,2600466000.0,1522,5066311925.849999,-0.00024396965861344492,1
2020-02-03 09:21:13.751000+00:00,17,27396,1.10656,1.1067200000000001,1.10591,1.10602,4007082000.0,2180889000.0,1522,4433294185.410003,-0.0004881179534495165,0
2020-02-03 09:41:47.496000+00:00,18,28918,1.10602,1.10683,1.10594,1.1068,4856720000.0,3116445000.0,1522,5372849826.9,0.0007049828113492848,0
2020-02-03 09:59:33.319000+00:00,19,30440,1.10681,1.10723,1.10656,1.1072,4303716000.0,2570241000.0,1522,4764016853.08,0.00036133695063430616,0
2020-02-03 10:11:07.412000+00:00,20,31962,1.1072,1.10742,1.1067200000000001,1.10677,4804498000.0,2807521000.0,1522,5319049228.130001,-0.0003884424860379578,0
2020-02-03 10:31:09.597000+00:00,21,33484,1.10677,1.10685,1.1065,1.1066799999999999,4330525000.0,2777000000.0,1522,4792574396.75,-8.13210147503237e-05,1
2020-02-03 10:52:53.618000+00:00,22,35006,1.10669,1.107,1.1065,1.10657,4253375000.0,2597600000.0,1522,4707224774.5,-9.940133296345384e-05,1
2020-02-03 11:07:15.611000+00:00,23,36528,1.10658,1.10684,1.1064200000000002,1.10665,3236549000.0,1776150000.0,1522,3581718731.56,7.229285840071706e-05,1
2020-02-03 11:21:46.430000+00:00,24,38050,1.10666,1.10669,1.10611,1.1063,3807719000.0,2259955000.0,1522,4212654335.39,-0.0003163198471887543,0
2020-02-03 11:42:37.016000+00:00,25,39572,1.1063100000000001,1.10633,1.10591,1.10619,3491029000.0,2193264000.0,1522,3861472422.3899994,-9.943547775650313e-05,1
2020-02-03 12:04:27.975000+00:00,26,41094,1.10618,1.10636,1.10584,1.1063,4194470000.0,2762483000.0,1522,4639766153.320003,9.9435477756479e-05,1
2020-02-03 12:35:49.541000+00:00,27,42616,1.1063,1.10666,1.10626,1.10637,5038671000.0,3385646000.0,1522,5575095046.030001,6.327197460395479e-05,1
2020-02-03 13:03:59.591000+00:00,28,44138,1.10636,1.10666,1.1062,1.10656,4657440000.0,3075100000.0,1522,5153234270.79,0.00017171803940176154,1
2020-02-03 13:28:31.543000+00:00,29,45660,1.10656,1.10667,1.10627,1.10637,4305163000.0,2651742000.0,1522,4763720171.25,-0.00017171803940189409,1
2020-02-03 14:00:21.683000+00:00,30,47182,1.10636,1.10656,1.10617,1.1063399999999999,3973050000.0,2505000000.0,1522,4395617202.0,-2.711607034072985e-05,1
2020-02-03 14:23:41.641000+00:00,31,48704,1.1063399999999999,1.10637,1.10552,1.1056,4092509000.0,2474492000.0,1522,4526005107.089997,-0.000669095931722963,0
2020-02-03 14:37:00.597000+00:00,32,50226,1.1056,1.10562,1.1050200000000001,1.10535,3609748000.0,2167285000.0,1522,3989869463.5599976,-0.00022614713228730467,1
2020-02-03 14:48:42.963000+00:00,33,51748,1.10534,1.10537,1.1046200000000002,1.10476,4997682000.0,3023999000.0,1522,5522565689.25,-0.0005339100895571417,0
2020-02-03 14:59:25.523000+00:00,34,53270,1.10477,1.10494,1.1045,1.10473,3784759000.0,2150790000.0,1522,4180955548.06,-2.7155587942773318e-05,1
2020-02-03 15:02:13.321000+00:00,35,54792,1.1047200000000001,1.10485,1.10354,1.1047,3467669000.0,2192026000.0,1522,3829554073.25,-2.715632538869722e-05,1
2020-02-03 15:06:07.003000+00:00,36,56314,1.1047,1.10494,1.10432,1.1047799999999999,3997445000.0,2353890000.0,1522,4415745451.65,7.241522895433317e-05,1
2020-02-03 15:12:27.248000+00:00,37,57836,1.10479,1.105,1.10456,1.1046,3961295000.0,2404995000.0,1522,4376260730.15,-0.00016294164009659264,1
2020-02-03 15:21:20.328000+00:00,38,59358,1.10461,1.105,1.10436,1.10479,3642606000.0,2149100000.0,1522,4023877056.28,0.000171993175010571,1
