WS30_timestamp,open,high,low,close
2020-02-03 00:00:00+00:00,28327.0,28442.0,28304.0,28400.0
2020-02-03 01:00:00+00:00,28399.5,28494.0,28355.0,28488.0
2020-02-03 02:00:00+00:00,28487.5,28502.5,28406.0,28412.5
2020-02-03 03:00:00+00:00,28412.0,28461.0,28398.0,28444.0
2020-02-03 04:00:00+00:00,28444.5,28454.0,28421.5,28446.5
2020-02-03 05:00:00+00:00,28446.0,28489.0,28442.0,28457.5
2020-02-03 06:00:00+00:00,28457.0,28460.0,28397.0,28411.0
2020-02-03 07:00:00+00:00,28410.5,28457.0,28394.0,28422.0
2020-02-03 08:00:00+00:00,28421.0,28447.0,28336.0,28403.0
2020-02-03 09:00:00+00:00,28402.5,28404.0,28334.0,28338.5
2020-02-03 10:00:00+00:00,28339.0,28384.5,28324.0,28362.0
2020-02-03 11:00:00+00:00,28362.5,28407.0,28362.5,28387.5
2020-02-03 12:00:00+00:00,28387.0,28397.0,28352.0,28383.5
2020-02-03 13:00:00+00:00,28383.0,28461.0,28377.0,28400.0
2020-02-03 14:00:00+00:00,28399.5,28570.5,28367.0,28555.0
2020-02-03 15:00:00+00:00,28554.5,28644.0,28544.0,28564.0
2020-02-03 16:00:00+00:00,28564.5,28592.0,28408.0,28452.5
2020-02-03 17:00:00+00:00,28452.0,28490.0,28408.0,28460.5
2020-02-03 18:00:00+00:00,28461.0,28468.0,28380.5,28452.0
2020-02-03 19:00:00+00:00,28451.5,28475.0,28395.0,28451.0
2020-02-03 20:00:00+00:00,28451.5,28501.0,28398.5,28414.5
2020-02-03 21:00:00+00:00,28415.0,28443.0,28387.0,28440.0
2020-02-03 22:00:00+00:00,,,,
2020-02-03 23:00:00+00:00,28432.5,28432.5,28359.0,28411.5
2020-02-04 00:00:00+00:00,28412.0,28467.0,28403.0,28455.5
2020-02-04 01:00:00+00:00,28456.0,28559.0,28451.0,28545.0
2020-02-04 02:00:00+00:00,28545.5,28547.5,28502.5,28525.0
2020-02-04 03:00:00+00:00,28524.5,28619.5,28503.5,28592.0
2020-02-04 04:00:00+00:00,28592.5,28626.0,28579.0,28593.5
2020-02-04 05:00:00+00:00,28594.0,28635.0,28584.5,28617.0
2020-02-04 06:00:00+00:00,28616.5,28666.5,28614.0,28649.0
2020-02-04 07:00:00+00:00,28650.0,28660.5,28590.5,28637.0
2020-02-04 08:00:00+00:00,28636.5,28746.5,28622.0,28717.0
2020-02-04 09:00:00+00:00,28716.5,28762.5,28698.5,28750.0
2020-02-04 10:00:00+00:00,28751.0,28754.5,28714.5,28715.5
2020-02-04 11:00:00+00:00,28716.0,28761.0,28711.0,28743.5
2020-02-04 12:00:00+00:00,28743.0,28804.5,28723.5,28802.0
2020-02-04 13:00:00+00:00,28801.5,28821.0,28770.0,28814.5
2020-02-04 14:00:00+00:00,28815.0,28863.0,28759.5,28852.0
2020-02-04 15:00:00+00:00,28852.5,28895.0,28798.0,28847.5
2020-02-04 16:00:00+00:00,28846.5,28914.0,28832.5,28884.0
2020-02-04 17:00:00+00:00,28885.0,28917.0,28873.0,28895.0
2020-02-04 18:00:00+00:00,28895.5,28903.5,28845.5,28902.0
2020-02-04 19:00:00+00:00,28902.5,28919.0,28868.0,28872.0
2020-02-04 20:00:00+00:00,28871.5,28891.0,28806.5,28824.5
2020-02-04 21:00:00+00:00,28824.0,28878.0,28812.0,28860.0
2020-02-04 22:00:00+00:00,,,,
2020-02-04 23:00:00+00:00,28867.0,28870.5,28805.0,28808.5
2020-02-05 00:00:00+00:00,28808.0,28847.5,28782.5,28802.0
2020-02-05 01:00:00+00:00,28802.5,28854.5,28765.5,28847.5
2020-02-05 02:00:00+00:00,28848.0,28848.0,28805.0,28806.5
2020-02-05 03:00:00+00:00,28806.0,28830.0,28785.5,28819.5
2020-02-05 04:00:00+00:00,28819.0,28839.0,28812.0,28830.0
2020-02-05 05:00:00+00:00,28830.5,28836.0,28774.5,28791.0
2020-02-05 06:00:00+00:00,28792.0,28827.5,28786.5,28808.5
2020-02-05 07:00:00+00:00,28808.0,28824.5,28786.5,28793.5
2020-02-05 08:00:00+00:00,28793.0,29062.5,28785.5,29021.5
2020-02-05 09:00:00+00:00,29021.0,29162.5,29001.0,29135.5
2020-02-05 10:00:00+00:00,29135.0,29139.0,29087.0,29103.0
2020-02-05 11:00:00+00:00,29102.5,29140.5,29055.0,29059.5
2020-02-05 12:00:00+00:00,29060.0,29100.5,29044.5,29064.0
2020-02-05 13:00:00+00:00,29064.5,29131.0,29056.0,29109.0
2020-02-05 14:00:00+00:00,29108.5,29157.0,29058.5,29130.5
2020-02-05 15:00:00+00:00,29130.0,29152.0,29011.0,29096.0
2020-02-05 16:00:00+00:00,29096.5,29155.0,29066.5,29154.0
2020-02-05 17:00:00+00:00,29153.5,29195.0,29146.5,29175.0
2020-02-05 18:00:00+00:00,29176.0,29237.5,29152.5,29218.0
2020-02-05 19:00:00+00:00,29217.5,29277.0,29191.0,29265.0
2020-02-05 20:00:00+00:00,29265.5,29323.0,29244.0,29302.5
2020-02-05 21:00:00+00:00,29302.0,29348.0,29273.0,29321.5
2020-02-05 22:00:00+00:00,,,,
2020-02-05 23:00:00+00:00,29331.5,29347.0,29298.0,29303.0
2020-02-06 00:00:00+00:00,29302.0,29326.5,29290.0,29312.5
2020-02-06 01:00:00+00:00,29312.0,29425.5,29304.5,29373.5
2020-02-06 02:00:00+00:00,29374.0,29449.0,29374.0,29433.5
