XAUUSD_timestamp,open,high,low,close
2020-02-03 00:00:00+00:00,1589.53,1590.17,1584.125,1586.4
2020-02-03 01:00:00+00:00,1586.405,1588.105,1582.275,1582.475
2020-02-03 02:00:00+00:00,1582.48,1584.07,1581.595,1582.915
2020-02-03 03:00:00+00:00,1582.93,1583.59,1579.69,1580.39
2020-02-03 04:00:00+00:00,1580.385,1581.5,1579.655,1581.01
2020-02-03 05:00:00+00:00,1581.015,1581.31,1579.37,1579.795
2020-02-03 06:00:00+00:00,1579.79,1580.915,1579.115,1579.405
2020-02-03 07:00:00+00:00,1579.4,1579.975,1573.945,1576.485
2020-02-03 08:00:00+00:00,1576.475,1579.795,1573.54,1575.755
2020-02-03 09:00:00+00:00,1575.765,1579.03,1574.955,1578.945
2020-02-03 10:00:00+00:00,1578.94,1580.99,1577.37,1580.96
2020-02-03 11:00:00+00:00,1580.955,1581.3,1578.07,1578.23
2020-02-03 12:00:00+00:00,1578.24,1580.125,1577.905,1579.7
2020-02-03 13:00:00+00:00,1579.67,1579.985,1576.145,1578.535
2020-02-03 14:00:00+00:00,1578.53,1580.515,1574.39,1574.98
2020-02-03 15:00:00+00:00,1574.965,1576.435,1569.66,1575.665
2020-02-03 16:00:00+00:00,1575.66,1579.81,1574.365,1578.19
2020-02-03 17:00:00+00:00,1578.195,1578.65,1574.82,1575.62
2020-02-03 18:00:00+00:00,1575.64,1578.605,1575.24,1576.58
2020-02-03 19:00:00+00:00,1576.575,1578.165,1575.82,1577.79
2020-02-03 20:00:00+00:00,1577.8,1578.03,1575.655,1576.285
2020-02-03 21:00:00+00:00,1576.28,1577.27,1576.275,1576.76
2020-02-03 22:00:00+00:00,,,,
2020-02-03 23:00:00+00:00,1578.71,1579.43,1578.295,1578.88
2020-02-04 00:00:00+00:00,1578.875,1579.73,1577.355,1578.465
2020-02-04 01:00:00+00:00,1578.46,1579.135,1573.9,1575.785
2020-02-04 02:00:00+00:00,1575.79,1577.775,1575.725,1576.535
2020-02-04 03:00:00+00:00,1576.54,1577.37,1574.44,1575.525
2020-02-04 04:00:00+00:00,1575.52,1576.14,1574.46,1575.245
2020-02-04 05:00:00+00:00,1575.24,1575.83,1572.26,1572.765
2020-02-04 06:00:00+00:00,1572.77,1573.45,1570.675,1571.415
2020-02-04 07:00:00+00:00,1571.41,1574.735,1571.265,1572.125
2020-02-04 08:00:00+00:00,1572.13,1573.275,1567.7,1568.125
2020-02-04 09:00:00+00:00,1568.14,1568.475,1565.515,1568.21
2020-02-04 10:00:00+00:00,1568.22,1571.425,1567.445,1570.825
2020-02-04 11:00:00+00:00,1570.82,1571.675,1569.715,1570.25
2020-02-04 12:00:00+00:00,1570.275,1570.78,1566.68,1567.195
2020-02-04 13:00:00+00:00,1567.19,1567.85,1559.93,1560.035
2020-02-04 14:00:00+00:00,1560.025,1562.125,1556.595,1557.65
2020-02-04 15:00:00+00:00,1557.64,1559.38,1551.32,1555.32
2020-02-04 16:00:00+00:00,1555.315,1556.125,1552.125,1552.25
2020-02-04 17:00:00+00:00,1552.265,1553.375,1549.12,1550.745
2020-02-04 18:00:00+00:00,1550.735,1552.795,1549.715,1551.595
2020-02-04 19:00:00+00:00,1551.6,1552.82,1550.585,1552.67
2020-02-04 20:00:00+00:00,1552.665,1555.455,1552.585,1555.21
2020-02-04 21:00:00+00:00,1555.2,1555.455,1552.15,1553.005
2020-02-04 22:00:00+00:00,,,,
2020-02-04 23:00:00+00:00,1553.205,1554.325,1552.47,1554.185
2020-02-05 00:00:00+00:00,1554.19,1556.115,1552.19,1555.305
2020-02-05 01:00:00+00:00,1555.3,1556.675,1552.98,1554.0
2020-02-05 02:00:00+00:00,1554.005,1555.44,1553.855,1555.205
2020-02-05 03:00:00+00:00,1555.2,1557.655,1555.15,1557.34
2020-02-05 04:00:00+00:00,1557.345,1558.265,1556.885,1557.305
2020-02-05 05:00:00+00:00,1557.3,1560.865,1557.175,1559.555
2020-02-05 06:00:00+00:00,1559.56,1560.045,1558.615,1559.655
2020-02-05 07:00:00+00:00,1559.66,1562.47,1559.65,1561.125
2020-02-05 08:00:00+00:00,1561.13,1562.035,1552.81,1556.075
2020-02-05 09:00:00+00:00,1556.085,1556.555,1547.56,1548.77
2020-02-05 10:00:00+00:00,1548.81,1552.765,1548.72,1552.05
2020-02-05 11:00:00+00:00,1552.065,1555.64,1550.465,1555.015
2020-02-05 12:00:00+00:00,1555.01,1556.04,1553.21,1554.38
2020-02-05 13:00:00+00:00,1554.385,1555.52,1548.595,1554.53
2020-02-05 14:00:00+00:00,1554.535,1556.97,1553.11,1554.505
2020-02-05 15:00:00+00:00,1554.52,1559.07,1552.795,1556.1
2020-02-05 16:00:00+00:00,1556.125,1559.685,1556.12,1558.19
2020-02-05 17:00:00+00:00,1558.195,1558.69,1557.515,1557.79
2020-02-05 18:00:00+00:00,1557.795,1559.205,1557.655,1557.67
2020-02-05 19:00:00+00:00,1557.665,1558.745,1556.705,1557.11
2020-02-05 20:00:00+00:00,1557.105,1557.96,1556.715,1557.025
2020-02-05 21:00:00+00:00,1557.03,1557.935,1556.115,1556.2
2020-02-05 22:00:00+00:00,,,,
2020-02-05 23:00:00+00:00,1555.965,1556.62,1554.71,1556.15
2020-02-06 00:00:00+00:00,1556.185,1556.64,1554.62,1556.45
2020-02-06 01:00:00+00:00,1556.455,1558.24,1555.145,1557.035
2020-02-06 02:00:00+00:00,1557.03,1557.03,1554.105,1554.93
2020-02-06 03:00:00+00:00,1554.925,1555.51,1554.01,1554.42
2020-02-06 04:00:00+00:00,1554.43,1554.865,1552.945,1553.27
2020-02-06 05:00:00+00:00,1553.275,1556.34,1552.545,1556.21
2020-02-06 06:00:00+00:00,1556.195,1558.27,1555.05,1557.65
2020-02-06 07:00:00+00:00,1557.655,1560.315,1557.22,1558.7
2020-02-06 08:00:00+00:00,1558.69,1560.73,1558.205,1559.23
2020-02-06 09:00:00+00:00,1559.24,1564.075,1559.005,1562.285
2020-02-06 10:00:00+00:00,1562.28,1567.29,1562.275,1566.93
2020-02-06 11:00:00+00:00,1566.92,1567.685,1564.535,1564.845
2020-02-06 12:00:00+00:00,1564.86,1566.33,1563.355,1566.31
