GBPJPY_timestamp,open,high,low,close
2020-02-03 00:00:00+00:00,142.871,143.076,142.817,142.9485
2020-02-03 01:00:00+00:00,142.948,143.111,142.849,143.048
2020-02-03 02:00:00+00:00,143.047,143.061,142.896,142.916
2020-02-03 03:00:00+00:00,142.9155,142.9315,142.773,142.83
2020-02-03 04:00:00+00:00,142.8295,142.9005,142.796,142.8035
2020-02-03 05:00:00+00:00,142.803,142.9085,142.7975,142.8615
2020-02-03 06:00:00+00:00,142.862,142.864,142.7285,142.759
2020-02-03 07:00:00+00:00,142.7595,142.9455,142.7195,142.771
2020-02-03 08:00:00+00:00,142.7715,142.825,142.419,142.477
2020-02-03 09:00:00+00:00,142.479,142.479,141.9325,141.942
2020-02-03 10:00:00+00:00,141.9415,141.947,141.5705,141.592
2020-02-03 11:00:00+00:00,141.5915,141.858,141.5915,141.74
2020-02-03 12:00:00+00:00,141.7395,141.77,141.633,141.676
2020-02-03 13:00:00+00:00,141.675,141.839,141.6105,141.748
2020-02-03 14:00:00+00:00,141.749,141.755,141.3705,141.5165
2020-02-03 15:00:00+00:00,141.5205,141.7005,141.3725,141.463
2020-02-03 16:00:00+00:00,141.462,141.5115,141.1165,141.2325
2020-02-03 17:00:00+00:00,141.232,141.3615,141.071,141.322
2020-02-03 18:00:00+00:00,141.323,141.374,141.0775,141.213
2020-02-03 19:00:00+00:00,141.2135,141.292,141.114,141.2645
2020-02-03 20:00:00+00:00,141.264,141.32,141.1515,141.206
2020-02-03 21:00:00+00:00,141.2065,141.3235,141.1865,141.2335
2020-02-03 22:00:00+00:00,141.2395,141.26,141.1525,141.241
2020-02-03 23:00:00+00:00,141.24,141.242,141.118,141.173
2020-02-04 00:00:00+00:00,141.174,141.183,141.06,141.0805
2020-02-04 01:00:00+00:00,141.0815,141.238,140.968,141.2115
2020-02-04 02:00:00+00:00,141.2105,141.2105,141.073,141.187
2020-02-04 03:00:00+00:00,141.1865,141.4135,141.1285,141.296
2020-02-04 04:00:00+00:00,141.2965,141.556,141.2935,141.4395
2020-02-04 05:00:00+00:00,141.439,141.7025,141.423,141.6085
2020-02-04 06:00:00+00:00,141.609,141.7105,141.4995,141.543
2020-02-04 07:00:00+00:00,141.5425,141.5435,140.9275,141.0285
2020-02-04 08:00:00+00:00,141.0305,141.633,141.02,141.607
2020-02-04 09:00:00+00:00,141.6075,142.081,141.5415,141.993
2020-02-04 10:00:00+00:00,141.9935,142.0175,141.715,141.75
2020-02-04 11:00:00+00:00,141.749,141.93,141.729,141.89
2020-02-04 12:00:00+00:00,141.894,142.044,141.853,142.005
2020-02-04 13:00:00+00:00,142.004,142.3625,141.9355,142.2615
2020-02-04 14:00:00+00:00,142.261,142.3,142.0705,142.2685
2020-02-04 15:00:00+00:00,142.269,142.5275,142.2145,142.416
2020-02-04 16:00:00+00:00,142.4165,142.5535,142.334,142.5365
2020-02-04 17:00:00+00:00,142.536,142.6825,142.5225,142.6505
2020-02-04 18:00:00+00:00,142.6515,142.8405,142.641,142.7715
2020-02-04 19:00:00+00:00,142.7735,142.8465,142.7355,142.756
2020-02-04 20:00:00+00:00,142.7565,142.8055,142.6555,142.684
2020-02-04 21:00:00+00:00,142.6835,142.746,142.643,142.7205
2020-02-04 22:00:00+00:00,142.7175,142.756,142.6185,142.645
2020-02-04 23:00:00+00:00,142.6435,142.701,142.6,142.6155
2020-02-05 00:00:00+00:00,142.617,142.693,142.4895,142.559
2020-02-05 01:00:00+00:00,142.5585,142.5935,142.381,142.59
2020-02-05 02:00:00+00:00,142.5895,142.598,142.4335,142.486
2020-02-05 03:00:00+00:00,142.4855,142.5615,142.4505,142.527
2020-02-05 04:00:00+00:00,142.5275,142.5795,142.492,142.519
2020-02-05 05:00:00+00:00,142.5185,142.5185,142.395,142.4605
2020-02-05 06:00:00+00:00,142.46,142.5185,142.4155,142.427
2020-02-05 07:00:00+00:00,142.4265,142.5905,142.237,142.5465
2020-02-05 08:00:00+00:00,142.5475,143.085,142.497,142.945
2020-02-05 09:00:00+00:00,142.9455,143.3785,142.8265,143.3275
2020-02-05 10:00:00+00:00,143.327,143.331,143.048,143.1325
2020-02-05 11:00:00+00:00,143.133,143.271,143.0725,143.11
2020-02-05 12:00:00+00:00,143.1105,143.1635,143.0105,143.112
2020-02-05 13:00:00+00:00,143.1115,143.2645,142.617,142.811
2020-02-05 14:00:00+00:00,142.8115,142.847,142.2275,142.3615
2020-02-05 15:00:00+00:00,142.3625,142.5645,142.3205,142.5095
