,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,Returns
1,2020-02-03 01:42:08.860000+00:00,3044,13019.8,13032.65,13009.25,13028.55,59636.0,21514.0,1522,776553801.3999999,0.0006679873100457864
2,2020-02-03 01:52:50.790000+00:00,4566,13028.5,13038.3,13015.25,13030.8,59718.0,18714.0,1522,777929140.2,0.00017268274194026103
3,2020-02-03 02:04:07.425000+00:00,6088,13031.0,13043.05,13026.0,13026.8,61425.0,24025.0,1522,800653991.25,-0.0003070121600929841
4,2020-02-03 02:14:04.156000+00:00,7610,13026.75,13030.05,13013.25,13014.3,62325.0,26300.0,1522,811468015.0,-0.000960020963787413
5,2020-02-03 02:27:02.991000+00:00,9132,13014.3,13026.55,13010.25,13021.0,63275.0,26825.0,1522,823806382.5,0.0005146858417536344
6,2020-02-03 02:40:45.304000+00:00,10654,13020.9,13022.05,13008.0,13013.0,63700.0,28175.0,1522,829096946.25,-0.0006145809519709653
7,2020-02-03 02:59:29.773000+00:00,12176,13012.8,13016.05,12995.55,12997.75,63225.0,27400.0,1522,822208876.25,-0.001172592235699537
8,2020-02-03 03:12:15.619000+00:00,13698,12997.8,13006.8,12985.75,12991.55,63500.0,27900.0,1522,825152346.25,-0.00047711943897036643
9,2020-02-03 03:26:50.251000+00:00,15220,12991.6,13020.85,12991.25,13014.85,62725.0,28350.0,1522,815975642.5,0.0017918670968899116
10,2020-02-03 03:45:43.307000+00:00,16742,13014.55,13022.3,13007.75,13011.25,63200.0,28400.0,1522,822445063.75,-0.00027664536929925985
11,2020-02-03 04:14:57.792000+00:00,18264,13011.3,13016.6,13001.75,13002.75,63000.0,26450.0,1522,819538276.25,-0.0006534942955714269
12,2020-02-03 05:06:02.772000+00:00,19786,13002.8,13017.8,13000.5,13013.5,61675.0,22400.0,1522,802229730.0,0.0008264066198478733
13,2020-02-03 05:31:49.771000+00:00,21308,13013.8,13032.8,13011.5,13023.55,61800.0,21825.0,1522,804827790.0,0.0007719768943950775
14,2020-02-03 05:57:32.085000+00:00,22830,13023.5,13027.8,13007.0,13014.8,60850.0,20175.0,1522,792089203.75,-0.000672085622120019
15,2020-02-03 06:13:20.165000+00:00,24352,13014.75,13017.05,12992.05,12992.55,56570.0,23879.0,1522,735627055.8000003,-0.0017110551769758749
16,2020-02-03 06:46:57.401000+00:00,25874,12992.35,13002.05,12984.55,12990.6,38874.0,25428.0,1522,505186894.4999999,-0.00015009727486160667
17,2020-02-03 07:00:13.785000+00:00,27396,12990.35,13025.1,12990.35,13010.8,46768.0,25867.0,1522,608574615.15,0.001553762802300443
18,2020-02-03 07:06:08.055000+00:00,28918,13010.75,13017.55,13005.3,13008.35,59275.0,25200.0,1522,771243728.75,-0.00018832283200945915
19,2020-02-03 07:15:40.973000+00:00,30440,13008.15,13015.25,12997.5,13015.25,58000.0,30050.0,1522,754259861.25,0.0005302879049549043
20,2020-02-03 07:26:33.663000+00:00,31962,13015.3,13022.8,13010.55,13021.55,56750.0,31150.0,1522,738750003.75,0.00048393044636427593
21,2020-02-03 07:35:03.516000+00:00,33484,13021.6,13029.3,13017.3,13025.0,58128.0,23252.0,1522,757049842.6500001,0.0002649103255652259
22,2020-02-03 07:49:08.702000+00:00,35006,13025.25,13031.75,13024.3,13029.75,59558.0,20254.0,1522,775949689.6,0.00036461682055086413
23,2020-02-03 08:00:03.608000+00:00,36528,13030.05,13035.05,13020.3,13022.8,58221.0,19746.0,1522,758447048.95,-0.0005335370368634016
24,2020-02-03 08:01:39.527000+00:00,38050,13022.75,13048.9,13020.55,13044.2,87579.0,32528.0,1522,1141926206.5,0.0016419231064342848
25,2020-02-03 08:04:22.969000+00:00,39572,13044.15,13047.65,13033.4,13040.95,102698.0,34197.0,1522,1339148626.1,-0.00024918392394271513
26,2020-02-03 08:07:20.905000+00:00,41094,13040.9,13042.9,13032.4,13033.4,103300.0,33750.0,1522,1346660660.0,-0.0005791132059672767
27,2020-02-03 08:10:39.799000+00:00,42616,13033.2,13035.95,13018.9,13029.9,102677.0,34296.0,1522,1337731069.0500002,-0.0002685768894222095
28,2020-02-03 08:13:45.149000+00:00,44138,13029.7,13032.9,13016.0,13016.0,104700.0,33800.0,1522,1363825850.0,-0.001067346593483496
29,2020-02-03 08:16:31.259000+00:00,45660,13016.45,13024.45,13012.45,13015.0,109850.0,43100.0,1522,1430034327.5,-7.683147020794868e-05
30,2020-02-03 08:19:06.744000+00:00,47182,13015.2,13039.9,13011.95,13030.15,112973.0,50044.0,1522,1471951511.1499975,0.0011633645195891834
31,2020-02-03 08:22:41.128000+00:00,48704,13030.4,13037.45,13019.15,13020.0,104684.0,37521.0,1522,1363956965.2499998,-0.000779266185694686
32,2020-02-03 08:25:39.087000+00:00,50226,13020.05,13023.5,13009.95,13011.2,133030.0,78676.0,1522,1731634797.2000024,-0.0006761117685873545
33,2020-02-03 08:28:34.709000+00:00,51748,13011.45,13023.7,13001.15,13020.75,110892.0,50832.0,1522,1442774411.35,0.0007337137961946351
34,2020-02-03 08:32:22.030000+00:00,53270,13020.9,13025.25,13012.4,13016.4,111933.0,56923.0,1522,1457226982.2999973,-0.00033413795599537984
