,PLF,SYO,ZVQ,OOS,CIS,ERQ
2019-08-29 21:00:00,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2019-09-01 21:00:00,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2019-09-02 21:00:00,0.16593833860408483,0.15288706971048305,0.17796015611964827,0.16593833860408116,0.17133775835762494,0.1659383386040777
2019-09-03 21:00:00,0.10409816041402849,0.15157651156188628,0.1725902810308271,0.242167377877878,0.17048373622588633,0.1590839328894938
2019-09-04 21:00:00,0.12206334939068834,0.13781751922949972,0.14016560745608841,0.2577310812595557,0.1648815548508017,0.1773408878133662
2019-09-05 21:00:00,0.13676967718172423,0.1410428055557346,0.06788474806868892,0.2671959332556848,0.1935687228431267,0.19353811309504065
2019-09-08 21:00:00,0.11842284579437609,0.12897212603072739,0.10772923067645693,0.26369456576174577,0.17656546742901297,0.20461576430768072
2019-09-09 21:00:00,0.10972666342067589,0.12548490913080307,0.12709025683528666,0.2737232223537468,0.16794320080295375,0.19603174745653384
2019-09-10 21:00:00,0.10737749547589256,0.12108823683121353,0.12487750752536611,0.28619305012582014,0.16606956815566376,0.19439414188604387
2019-09-11 21:00:00,0.08745395471141183,0.10921981302058312,0.12893776500667464,0.2928518132536387,0.18215854856071495,0.19937810544697682
2019-09-12 21:00:00,0.09613708688782473,0.1060486587191231,0.1302849508152052,0.27798868747006406,0.18947626665468886,0.20006434945309418
2019-09-15 21:00:00,0.1356967509798154,0.09901946110447328,0.09309923079175673,0.3284300122744616,0.1419114150981463,0.2018431297513467
2019-09-16 21:00:00,0.11281176087682897,0.0783503304238261,0.1618049939635475,0.29948548251329155,0.17074269266305767,0.17680473955944825
2019-09-17 21:00:00,0.09990910113814962,0.06491559310791636,0.18953197222537221,0.29705765453509575,0.18020775823734814,0.16837792075611793
2019-09-18 21:00:00,0.11606010375575468,0.06517291112973685,0.22994246037756924,0.21030999799638725,0.19584921219924079,0.18266531454131124
2019-09-19 21:00:00,0.11170066071862843,0.056982349118722,0.2458440715321441,0.2078913519773024,0.19863108182686953,0.17895048482633352
2019-09-22 21:00:00,0.10907177469669813,0.07274017133253036,0.24194572173174395,0.1994126482463884,0.20114368691678047,0.17568599707585875
2019-09-23 21:00:00,0.10559898858784174,0.06662223291312999,0.23901014453966632,0.1963133509360948,0.2066502252591784,0.18580505776408876
2019-09-24 21:00:00,0.09994341423170902,0.07667139659667242,0.2328864664576698,0.1943038037041282,0.21633418417084369,0.17986073483897685
2019-09-25 21:00:00,0.08164359470575479,0.0904155842733662,0.2353556089832885,0.20313201951766863,0.199970778588902,0.18948241393101992
2019-09-26 21:00:00,0.08762434048956035,0.0844486272075602,0.2180472077686584,0.20886365289829523,0.2057511773835339,0.19526499425239197
2019-09-29 21:00:00,0.08972291047713757,0.07250807417865178,0.20914149129978954,0.1737873950313643,0.2559881943964921,0.1988519346165648
2019-09-30 21:00:00,0.07660176373803494,0.08885073119572832,0.1884546057511554,0.18894608720733572,0.2712358391331982,0.1859109729745474
2019-10-01 21:00:00,0.07839564797401698,0.055724159952084816,0.22349990776032141,0.17140862583112795,0.2934656300637588,0.17750602841869018
2019-10-02 21:00:00,0.08948585382438176,0.03174548591996565,0.2284805407515443,0.14793956654509624,0.32116236733778203,0.1811861856212299
2019-10-03 21:00:00,0.09097162907893538,0.05927593074304547,0.2244371204267942,0.16087857241821016,0.285470442035678,0.17896630529733681
2019-10-06 21:00:00,0.10357815143799717,0.07844407971140992,0.21852508809567533,0.16314237437712265,0.2619147816677789,0.17439552471001604
2019-10-07 21:00:00,0.10449955760838534,0.07842413178232152,0.21949733014241682,0.15931458498146336,0.26290986084583245,0.1753545346395806
2019-10-08 21:00:00,0.11124177673128745,0.06785162581374671,0.21759146997046283,0.14253159868206294,0.2826346748901621,0.17814885391227794
2019-10-09 21:00:00,0.10229920261493594,0.03961894751718337,0.2412128025975683,0.12454095284631218,0.31915532024859394,0.17317277417540625
2019-10-10 21:00:00,0.1217766432511446,0.08031945132243992,0.24037877020569304,0.10708446847661156,0.26203523640841053,0.1884054303357002
2019-10-13 21:00:00,0.16424462653556426,0.11191616992889201,0.14207014187878342,0.11381937254085014,0.2621160686315277,0.2058336204843825
2019-10-14 21:00:00,0.16631595004144248,0.1132646653372172,0.1322105285138538,0.11578082859708097,0.26442294827444973,0.20800507923595568
2019-10-15 21:00:00,0.18217797554469645,0.13441998326330154,0.07261857523527203,0.12443820252706514,0.2757815832890935,0.21056368014057136
2019-10-16 21:00:00,0.17281644918215033,0.12099156479515534,0.11012356175335493,0.11572550387445092,0.2822968303791865,0.198046090015702
2019-10-17 21:00:00,0.18188777713529572,0.12765077153322082,0.10824800775885692,0.11511394934636322,0.26020316680652383,0.2068963274197395
2019-10-20 21:00:00,0.22059408474755038,0.1074273843741892,0.09802336746663629,0.11132841567513783,0.2583404009271782,0.20428634680930816
2019-10-21 21:00:00,0.21802544108268168,0.08804614651626107,0.12759293326240537,0.10903565911585883,0.25557679096564423,0.2017230290571489
2019-10-22 21:00:00,0.21636363711094833,0.07696155551505522,0.12462269929761366,0.10585858025025693,0.2763657903837369,0.19982773744238885
2019-10-23 21:00:00,0.22064038826330948,0.0604366225302552,0.12791537093650787,0.09553159846234907,0.29179988151576014,0.2036761382918183
2019-10-24 21:00:00,0.22533866552983253,0.06907196839062084,0.15049827749131445,0.08321985082586673,0.26313318686305814,0.20873805089930736
