,PLF,SYO,ZVQ,OOS,CIS,ERQ
2019-08-29 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-01 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-02 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-03 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-04 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-05 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334
2019-09-08 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-09-09 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334
2019-09-10 21:00:00,0.16017808106606987,0.0,0.0,0.6796438378679012,0.0,0.16017808106602907
2019-09-11 21:00:00,0.0,0.0,0.0,0.5,0.0,0.5
2019-09-12 21:00:00,0.0,0.0,0.0,0.5,0.0,0.5
2019-09-15 21:00:00,0.0,0.0,0.0,0.0,0.0,1.0
2019-09-16 21:00:00,0.0,0.0,1.0,0.0,0.0,0.0
2019-09-17 21:00:00,0.0,0.0,0.0,1.0,0.0,0.0
2019-09-18 21:00:00,0.0,0.0,0.0,0.5,0.5,0.0
2019-09-19 21:00:00,0.5,0.0,0.5,0.0,0.0,0.0
2019-09-22 21:00:00,0.0,0.5,0.26091132837465586,0.0,0.23908867162534417,0.0
2019-09-23 21:00:00,0.0,0.26747496784275343,0.0,0.0,0.7325250321572466,0.0
2019-09-24 21:00:00,0.5,0.0,0.0,0.0,0.0,0.5
2019-09-25 21:00:00,0.33333333333334153,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333251
2019-09-26 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334
2019-09-29 21:00:00,0.0,0.0,0.2660856929977948,0.7339143070022053,0.0,0.0
2019-09-30 21:00:00,0.0,0.0,0.28980884424023895,0.710191155759761,0.0,0.0
2019-10-01 21:00:00,0.0,0.0,1.0,0.0,0.0,0.0
2019-10-02 21:00:00,0.0,0.0,0.7992029849482998,0.0,0.20079701505170017,0.0
2019-10-03 21:00:00,0.0,0.0,1.0,0.0,0.0,0.0
2019-10-06 21:00:00,0.0,0.25490979077646764,0.5,0.0,0.24509020922353233,0.0
2019-10-07 21:00:00,0.0,0.6720781921144026,0.0,0.16438679028421332,0.1635350176013841,0.0
2019-10-08 21:00:00,0.5,0.0,0.0,0.5,0.0,0.0
2019-10-09 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-10 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-13 21:00:00,0.08333333333333334,0.08333333333333334,0.31204404748308157,0.08333333333333334,0.3546226191835852,0.08333333333333334
2019-10-14 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-15 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-16 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-17 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-20 21:00:00,0.5833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
2019-10-21 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-22 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334
2019-10-23 21:00:00,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334
2019-10-24 21:00:00,0.5833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
2019-10-27 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334
2019-10-28 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-29 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-30 21:00:00,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-10-31 21:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334
2019-11-03 22:00:00,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.5833333333333334,0.08333333333333334,0.08333333333333334
2019-11-04 22:00:00,0.08333333333333333,0.5833333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
