,PLF,SYO,HFD,THA,CIS,ERQ
2019-08-29 21:00:00,0.15477472433416786,0.18512313576411005,0.14241421452275965,0.1725531483534976,0.156300705906034,0.18883407111943082
2019-09-01 21:00:00,0.0892623332404717,0.1960104365509099,0.17016328418430912,0.22213111820513343,0.16806197328697814,0.15437085453219768
2019-09-02 21:00:00,0.11615678791509798,0.030265776276148813,0.0517361464124541,0.20060795540158935,0.4437948645916228,0.15743846940308695
2019-09-03 21:00:00,0.015385545401861522,0.11229039213211037,0.12613514159201167,0.18916533568685287,0.3560613152623851,0.2009622699247785
2019-09-04 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-05 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-08 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-09 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-10 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-11 21:00:00,0.08521314770843005,0.06528435590290856,0.04265321135370032,0.03878475206511112,0.22642472871689298,0.5416398042529571
2019-09-12 21:00:00,0.04284352411709838,0.08311825971732198,0.028003004470628735,0.4925785369037425,0.14033803695598246,0.21311863783522603
2019-09-15 21:00:00,0.041296236818924824,0.0796735171942468,0.13800218704035444,0.5082062509717095,0.032483639853954686,0.2003381681208098
2019-09-16 21:00:00,0.04152470335760106,0.04464821954517612,0.12247698011087699,0.48309636421630403,0.1739609734818346,0.13429275928820728
2019-09-17 21:00:00,0.04152470335760106,0.04464821954517612,0.12247698011087699,0.48309636421630403,0.1739609734818346,0.13429275928820728
2019-09-18 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-09-19 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-09-22 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-09-23 21:00:00,0.04943660719284964,0.033000120838881396,0.11434233629115552,0.36784692880700226,0.3389349369493406,0.09643906992077066
2019-09-24 21:00:00,0.050012957068297635,0.039541220978273305,0.08552239369806738,0.3805459568591613,0.3445668154558963,0.09981065594030412
2019-09-25 21:00:00,0.042045810398535305,0.08874951147416223,0.07002989351048243,0.5473791628082441,0.13402989854866573,0.11776572325991026
2019-09-26 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-09-29 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-09-30 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-10-01 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-02 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-10-03 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-06 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-07 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-08 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-09 21:00:00,0.04398706095651784,0.04128651441513398,0.11347106401891659,0.4428987523401205,0.280112834319204,0.07824377395010718
2019-10-10 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-13 21:00:00,0.042045810398535305,0.08874951147416223,0.07002989351048243,0.5473791628082441,0.13402989854866573,0.11776572325991026
2019-10-14 21:00:00,0.042045810398535305,0.08874951147416223,0.07002989351048243,0.5473791628082441,0.13402989854866573,0.11776572325991026
2019-10-15 21:00:00,0.042045810398535305,0.08874951147416223,0.07002989351048243,0.5473791628082441,0.13402989854866573,0.11776572325991026
2019-10-16 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-17 21:00:00,0.042045810398535305,0.08874951147416223,0.07002989351048243,0.5473791628082441,0.13402989854866573,0.11776572325991026
2019-10-20 21:00:00,0.08799961855135165,0.06777150316310929,0.0984272115653747,0.5390481095576081,0.10528014297141078,0.1014734141911456
2019-10-21 21:00:00,0.08799961855135165,0.06777150316310929,0.0984272115653747,0.5390481095576081,0.10528014297141078,0.1014734141911456
2019-10-22 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-23 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
2019-10-24 21:00:00,0.05734796017676187,0.0529396703040808,0.08642105319404517,0.5205893126476225,0.18535004529459995,0.09735195838288978
