EURUSD_timestamp,open,high,low,close
2020-02-03 00:00:00+00:00,1.10889,1.10889,1.1087,1.10873
2020-02-03 00:05:00+00:00,1.10873,1.10878,1.10859,1.10876
2020-02-03 00:10:00+00:00,1.10877,1.10877,1.10859,1.1086
2020-02-03 00:15:00+00:00,1.10861,1.10867,1.1086,1.10865
2020-02-03 00:20:00+00:00,1.10866,1.1087,1.10865,1.10866
2020-02-03 00:25:00+00:00,1.10866,1.10868,1.1086,1.1086
2020-02-03 00:30:00+00:00,1.1086,1.1086,1.1083,1.10831
2020-02-03 00:35:00+00:00,1.10832,1.10834,1.10812,1.1082
2020-02-03 00:40:00+00:00,1.10821,1.10822,1.10811,1.10812
2020-02-03 00:45:00+00:00,1.10811,1.10814,1.108,1.10812
2020-02-03 00:50:00+00:00,1.10812,1.10822,1.10804,1.10805
2020-02-03 00:55:00+00:00,1.10806,1.1082,1.10806,1.10818
2020-02-03 01:00:00+00:00,1.10818,1.10824,1.10808,1.10809
2020-02-03 01:05:00+00:00,1.1081,1.1081,1.10802,1.10806
2020-02-03 01:10:00+00:00,1.10807,1.10822,1.10806,1.10817
2020-02-03 01:15:00+00:00,1.10818,1.10822,1.10806,1.10806
2020-02-03 01:20:00+00:00,1.10807,1.10856,1.10806,1.1085
2020-02-03 01:25:00+00:00,1.1085,1.10876,1.10842,1.10872
2020-02-03 01:30:00+00:00,1.10872,1.10872,1.10832,1.10846
2020-02-03 01:35:00+00:00,1.10846,1.10852,1.10832,1.10835
2020-02-03 01:40:00+00:00,1.10836,1.10846,1.10827,1.10829
2020-02-03 01:45:00+00:00,1.10828,1.10832,1.10814,1.10823
2020-02-03 01:50:00+00:00,1.10822,1.10826,1.10819,1.10825
2020-02-03 01:55:00+00:00,1.10824,1.10832,1.10823,1.10831
2020-02-03 02:00:00+00:00,1.10831,1.10846,1.10825,1.10846
2020-02-03 02:05:00+00:00,1.10846,1.10846,1.1082,1.10825
2020-02-03 02:10:00+00:00,1.10824,1.10839,1.10822,1.10836
2020-02-03 02:15:00+00:00,1.10837,1.10838,1.10822,1.10822
2020-02-03 02:20:00+00:00,1.10821,1.10827,1.10814,1.10826
2020-02-03 02:25:00+00:00,1.10826,1.10832,1.10822,1.10823
2020-02-03 02:30:00+00:00,1.10825,1.10827,1.10817,1.10823
2020-02-03 02:35:00+00:00,1.10824,1.10844,1.10818,1.1083
2020-02-03 02:40:00+00:00,1.10831,1.10846,1.10819,1.10819
2020-02-03 02:45:00+00:00,1.10818,1.10827,1.10807,1.10808
2020-02-03 02:50:00+00:00,1.10807,1.10821,1.10803,1.1082
2020-02-03 02:55:00+00:00,1.10821,1.1083,1.10816,1.10818
2020-02-03 03:00:00+00:00,1.10818,1.10836,1.10817,1.10828
2020-02-03 03:05:00+00:00,1.10829,1.10839,1.10827,1.10827
2020-02-03 03:10:00+00:00,1.10828,1.10832,1.10822,1.10831
2020-02-03 03:15:00+00:00,1.10832,1.10836,1.10829,1.10834
2020-02-03 03:20:00+00:00,1.10834,1.10834,1.10811,1.10812
2020-02-03 03:25:00+00:00,1.10812,1.10814,1.10806,1.1081
2020-02-03 03:30:00+00:00,1.1081,1.10818,1.10802,1.10816
2020-02-03 03:35:00+00:00,1.10815,1.10815,1.10812,1.10813
2020-02-03 03:40:00+00:00,1.10813,1.10818,1.10807,1.10818
2020-02-03 03:45:00+00:00,1.10816,1.10824,1.10816,1.10824
2020-02-03 03:50:00+00:00,1.10824,1.10825,1.10818,1.10819
2020-02-03 03:55:00+00:00,1.10818,1.10819,1.10807,1.10812
2020-02-03 04:00:00+00:00,1.10812,1.10819,1.10811,1.10816
2020-02-03 04:05:00+00:00,1.10817,1.10824,1.10813,1.10824
2020-02-03 04:10:00+00:00,1.10825,1.10826,1.10822,1.10825
2020-02-03 04:15:00+00:00,1.10825,1.10834,1.10824,1.10831
2020-02-03 04:20:00+00:00,1.1083,1.10834,1.1083,1.10833
2020-02-03 04:25:00+00:00,1.10834,1.10834,1.10832,1.10834
2020-02-03 04:30:00+00:00,1.10833,1.10834,1.10824,1.10833
2020-02-03 04:35:00+00:00,1.10834,1.1085,1.10833,1.10847
2020-02-03 04:40:00+00:00,1.10847,1.10847,1.10835,1.10838
2020-02-03 04:45:00+00:00,1.10839,1.10842,1.1083,1.10831
2020-02-03 04:50:00+00:00,1.1083,1.10832,1.10827,1.10832
2020-02-03 04:55:00+00:00,1.10831,1.10832,1.10818,1.10818
2020-02-03 05:00:00+00:00,1.10819,1.10819,1.10814,1.10816
2020-02-03 05:05:00+00:00,1.10816,1.10823,1.10815,1.10823
2020-02-03 05:10:00+00:00,1.10824,1.10829,1.10824,1.10829
2020-02-03 05:15:00+00:00,1.10831,1.10838,1.10829,1.10834
2020-02-03 05:20:00+00:00,1.10835,1.10838,1.10833,1.10838
2020-02-03 05:25:00+00:00,1.10838,1.10844,1.10827,1.10833
2020-02-03 05:30:00+00:00,1.10833,1.10845,1.10829,1.10844
2020-02-03 05:35:00+00:00,1.10844,1.10845,1.10839,1.10842
2020-02-03 05:40:00+00:00,1.10842,1.10844,1.10839,1.10839
2020-02-03 05:45:00+00:00,1.10838,1.10844,1.10838,1.10844
2020-02-03 05:50:00+00:00,1.10844,1.10847,1.10844,1.10845
2020-02-03 05:55:00+00:00,1.10845,1.10848,1.10839,1.10844
2020-02-03 06:00:00+00:00,1.10843,1.10854,1.10843,1.10854
2020-02-03 06:05:00+00:00,1.10852,1.10862,1.10852,1.10859
2020-02-03 06:10:00+00:00,1.10858,1.10859,1.10856,1.10856
2020-02-03 06:15:00+00:00,1.10857,1.10858,1.10836,1.10839
2020-02-03 06:20:00+00:00,1.10839,1.10841,1.1083,1.10832
2020-02-03 06:25:00+00:00,1.10831,1.10832,1.10821,1.10825
2020-02-03 06:30:00+00:00,1.10825,1.10828,1.10816,1.10816
2020-02-03 06:35:00+00:00,1.10816,1.10822,1.10816,1.10816
2020-02-03 06:40:00+00:00,1.10817,1.10833,1.10816,1.10833
2020-02-03 06:45:00+00:00,1.10832,1.1084,1.10825,1.10832
2020-02-03 06:50:00+00:00,1.10832,1.10841,1.10829,1.1084
2020-02-03 06:55:00+00:00,1.10838,1.10839,1.10822,1.10825
2020-02-03 07:00:00+00:00,1.10825,1.10846,1.10818,1.1083
2020-02-03 07:05:00+00:00,1.1083,1.10839,1.10821,1.10828
2020-02-03 07:10:00+00:00,1.10829,1.10832,1.10775,1.10776
2020-02-03 07:15:00+00:00,1.10776,1.10791,1.10768,1.1077
2020-02-03 07:20:00+00:00,1.10769,1.10792,1.10765,1.10765
2020-02-03 07:25:00+00:00,1.10765,1.10776,1.10748,1.10751
2020-02-03 07:30:00+00:00,1.10752,1.10761,1.10731,1.10731
2020-02-03 07:35:00+00:00,1.10731,1.10734,1.10716,1.10726
2020-02-03 07:40:00+00:00,1.10727,1.10748,1.10704,1.10736
2020-02-03 07:45:00+00:00,1.10734,1.10767,1.10723,1.1075
2020-02-03 07:50:00+00:00,1.10751,1.10754,1.1073,1.10744
2020-02-03 07:55:00+00:00,1.10743,1.10756,1.10732,1.10747
2020-02-03 08:00:00+00:00,1.10748,1.10773,1.10714,1.10759
2020-02-03 08:05:00+00:00,1.1076,1.10768,1.10737,1.10758
2020-02-03 08:10:00+00:00,1.10758,1.10784,1.10746,1.10784
2020-02-03 08:15:00+00:00,1.10784,1.10785,1.10762,1.10779
2020-02-03 08:20:00+00:00,1.10779,1.10779,1.10746,1.10768
2020-02-03 08:25:00+00:00,1.10768,1.10779,1.10734,1.10744
2020-02-03 08:30:00+00:00,1.10743,1.10757,1.10734,1.10738
2020-02-03 08:35:00+00:00,1.10737,1.10743,1.10707,1.10708
2020-02-03 08:40:00+00:00,1.10708,1.10714,1.10699,1.10703
2020-02-03 08:45:00+00:00,1.10702,1.1072,1.10683,1.10683
2020-02-03 08:50:00+00:00,1.10684,1.10688,1.10659,1.10659
2020-02-03 08:55:00+00:00,1.10658,1.10674,1.10642,1.10662
2020-02-03 09:00:00+00:00,1.10664,1.10664,1.10637,1.1066
2020-02-03 09:05:00+00:00,1.1066,1.10671,1.1065,1.10652
2020-02-03 09:10:00+00:00,1.10652,1.10653,1.10606,1.10628
2020-02-03 09:15:00+00:00,1.10628,1.10644,1.10608,1.10608
2020-02-03 09:20:00+00:00,1.10608,1.10612,1.10591,1.10598
2020-02-03 09:25:00+00:00,1.10599,1.10624,1.10597,1.10624
2020-02-03 09:30:00+00:00,1.10625,1.10646,1.10622,1.10644
2020-02-03 09:35:00+00:00,1.10644,1.10673,1.10643,1.10668
2020-02-03 09:40:00+00:00,1.10669,1.10696,1.10668,1.10693
2020-02-03 09:45:00+00:00,1.10694,1.107,1.10656,1.10659
2020-02-03 09:50:00+00:00,1.1066,1.10703,1.1066,1.107
2020-02-03 09:55:00+00:00,1.107,1.10728,1.10699,1.10727
2020-02-03 10:00:00+00:00,1.10726,1.10742,1.107,1.10702
2020-02-03 10:05:00+00:00,1.10702,1.10703,1.10676,1.1068
2020-02-03 10:10:00+00:00,1.1068,1.10688,1.10664,1.10677
2020-02-03 10:15:00+00:00,1.10676,1.10682,1.10665,1.10665
2020-02-03 10:20:00+00:00,1.10666,1.10685,1.10655,1.10676
2020-02-03 10:25:00+00:00,1.10676,1.10682,1.1065,1.10674
2020-02-03 10:30:00+00:00,1.10674,1.10675,1.10656,1.10666
2020-02-03 10:35:00+00:00,1.10665,1.10672,1.10658,1.10672
2020-02-03 10:40:00+00:00,1.10672,1.10692,1.1065,1.1069
2020-02-03 10:45:00+00:00,1.1069,1.107,1.1066,1.10671
2020-02-03 10:50:00+00:00,1.10672,1.10674,1.10657,1.10662
2020-02-03 10:55:00+00:00,1.10662,1.10683,1.10643,1.10648
2020-02-03 11:00:00+00:00,1.10649,1.10683,1.10642,1.10673
2020-02-03 11:05:00+00:00,1.10672,1.10678,1.10634,1.10636
2020-02-03 11:10:00+00:00,1.10636,1.10645,1.10623,1.1063
2020-02-03 11:15:00+00:00,1.10631,1.10636,1.10611,1.10617
2020-02-03 11:20:00+00:00,1.10616,1.10633,1.10605,1.10608
2020-02-03 11:25:00+00:00,1.10609,1.10626,1.10603,1.10623
2020-02-03 11:30:00+00:00,1.10622,1.10623,1.10598,1.10615
2020-02-03 11:35:00+00:00,1.10614,1.10616,1.10591,1.10599
2020-02-03 11:40:00+00:00,1.10598,1.1063,1.10596,1.10629
2020-02-03 11:45:00+00:00,1.1063,1.10636,1.10605,1.10607
2020-02-03 11:50:00+00:00,1.10606,1.10628,1.10604,1.10614
2020-02-03 11:55:00+00:00,1.10614,1.10627,1.10584,1.10627
2020-02-03 12:00:00+00:00,1.10626,1.1063,1.10614,1.10628
2020-02-03 12:05:00+00:00,1.10628,1.10648,1.10626,1.10646
2020-02-03 12:10:00+00:00,1.10645,1.10666,1.10645,1.10663
2020-02-03 12:15:00+00:00,1.10662,1.10662,1.10643,1.10654
2020-02-03 12:20:00+00:00,1.10652,1.10656,1.1064,1.10644
2020-02-03 12:25:00+00:00,1.10644,1.1065,1.10632,1.10635
2020-02-03 12:30:00+00:00,1.10636,1.1065,1.10635,1.10645
2020-02-03 12:35:00+00:00,1.10646,1.10646,1.10623,1.10625
2020-02-03 12:40:00+00:00,1.10626,1.10632,1.1062,1.10629
2020-02-03 12:45:00+00:00,1.10628,1.10656,1.10628,1.10652
