GDAXIm_timestamp,open,high,low,close
2020-02-03 01:30:00+00:00,12987.5,13024.75,12981.25,13013.5
2020-02-03 01:35:00+00:00,13013.75,13032.65,13009.25,13023.5
2020-02-03 01:40:00+00:00,13022.55,13038.3,13022.25,13023.75
2020-02-03 01:45:00+00:00,13024.0,13030.3,13015.25,13024.25
2020-02-03 01:50:00+00:00,13024.05,13034.55,13023.5,13031.5
2020-02-03 01:55:00+00:00,13031.1,13041.05,13026.75,13039.5
2020-02-03 02:00:00+00:00,13039.55,13043.05,13026.0,13029.8
2020-02-03 02:05:00+00:00,13029.6,13030.05,13013.25,13019.8
2020-02-03 02:10:00+00:00,13019.6,13021.05,13011.75,13011.8
2020-02-03 02:15:00+00:00,13012.5,13022.85,13010.25,13021.3
2020-02-03 02:20:00+00:00,13021.1,13026.55,13016.75,13017.8
2020-02-03 02:25:00+00:00,13018.5,13024.3,13017.05,13018.0
2020-02-03 02:30:00+00:00,13018.3,13022.05,13008.05,13008.8
2020-02-03 02:35:00+00:00,13008.6,13019.3,13008.0,13014.8
2020-02-03 02:40:00+00:00,13014.6,13016.05,13008.3,13012.25
2020-02-03 02:45:00+00:00,13012.15,13012.35,12999.75,13002.25
2020-02-03 02:50:00+00:00,13002.5,13006.6,12995.55,13006.55
2020-02-03 02:55:00+00:00,13006.05,13006.05,12996.25,12997.8
2020-02-03 03:00:00+00:00,12997.5,13006.8,12989.25,12991.25
2020-02-03 03:05:00+00:00,12991.0,12997.1,12985.75,12996.8
2020-02-03 03:10:00+00:00,12997.05,12999.3,12991.25,12996.55
2020-02-03 03:15:00+00:00,12996.35,13014.6,12991.55,13014.3
2020-02-03 03:20:00+00:00,13014.1,13020.85,13011.25,13015.3
2020-02-03 03:25:00+00:00,13015.25,13019.3,13008.5,13013.05
2020-02-03 03:30:00+00:00,13012.85,13022.3,13009.0,13019.05
2020-02-03 03:35:00+00:00,13019.35,13021.8,13011.55,13011.75
2020-02-03 03:40:00+00:00,13011.65,13014.35,13007.75,13010.55
2020-02-03 03:45:00+00:00,13010.1,13013.35,13005.75,13008.5
2020-02-03 03:50:00+00:00,13008.55,13016.6,13006.75,13010.3
2020-02-03 03:55:00+00:00,13010.25,13013.6,13008.0,13010.75
2020-02-03 04:00:00+00:00,13010.65,13013.8,13002.75,13003.3
2020-02-03 04:05:00+00:00,13003.25,13007.1,13002.8,13005.3
2020-02-03 04:10:00+00:00,13005.6,13005.6,13001.75,13003.0
2020-02-03 04:15:00+00:00,13003.3,13010.0,13003.3,13010.0
